	Molecule ChEMBL ID	Smiles	Standard Type	Standard Relation	Standard Value	Standard Units	Target Name
0	CHEMBL3780091	N[C@H]1CC[C@@H](Nc2cc[nH]c(=O)c2-c2nc3ccccc3[nH]2)CC1	IC50	'='	4.0	nM	Serine/threonine-protein kinase SIK2
1	CHEMBL4634634	C[C@@H]1C[C@H]1C(=O)N1CCN(c2cnc(C#N)c(-c3cnn(C)c3)n2)C[C@H]1C	IC50	'>'	100000.0	nM	Serine/threonine-protein kinase SIK2
2	CHEMBL3326006	CCCCNc1ncc2c(-c3ccc(CN4CCN(C)CC4)cc3)cn([C@H]3CC[C@H](O)CC3)c2n1	IC50	'='	5.75	nM	Serine/threonine-protein kinase SIK2
3	CHEMBL3745885	Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21	IC50	'>'	10000.0	nM	Serine/threonine-protein kinase SIK2
4	CHEMBL3770443	CNc1ncc2cc(-c3ccc(-c4cccc(C)n4)cc3Cl)c(=O)n(C[C@H]3OC[C@H](N)CO3)c2n1	IC50	'='	9.0	nM	Serine/threonine-protein kinase SIK2
5	CHEMBL2205766	CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1	IC50	'>'	10000.0	nM	Serine/threonine-protein kinase SIK2
6	CHEMBL4283353	CCC[C@H](C)Nc1ncc2c(-c3ccc(CN4CCCN(C)CC4)cc3)cn([C@H]3CC[C@H](O)CC3)c2n1	IC50	'>'	100.0	nM	Serine/threonine-protein kinase SIK2
7	CHEMBL4867844	Cc1nc(Nc2ncc(C(=O)Nc3c(C)csc3Cl)s2)cc(N2CCN(CCO)CC2)n1	IC50	'='	11.7	nM	Serine/threonine-protein kinase SIK2
8	CHEMBL4549667	CN1C(=O)[C@@H](N2CCc3c(nn(Cc4ccccc4)c3Br)C2=O)COc2ccccc21	IC50		1000.0	nM	Serine/threonine-protein kinase SIK2
9	CHEMBL388978	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4	IC50	'='	0.345	nM	Serine/threonine-protein kinase SIK2
