"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL4870304";"";"0";"499.53";"0";"3.51";"IV";"COc1cc2nc(NC3CC3)nc(NC3CCN(C(C)C)CC3)c2cc1OC.O=C(O)C(F)(F)F";"Activity";"'='";"44.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4805722";"Inhibition of human QSK assessed as percent of control at 1000 nM by KINOMEscan assay relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6149";"Serine/threonine-protein kinase SIK3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4804283";"38";"Patent Bioactivity Data";"";"";"None";"Dose = 1000.0 nM"
"CHEMBL2348350";"";"0";"438.56";"0";"2.40";"15u";"CN(C)C(=O)c1ccc(N2CCCN(c3ccnc4sc(C(N)=O)c(N)c34)CC2)cc1";"Activity";"'='";"97.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4806739";"Inhibition of human QSK assessed as percent of control at 2000 nM by KINOMEscan assay relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6149";"Serine/threonine-protein kinase SIK3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4804286";"38";"Patent Bioactivity Data";"";"";"None";"Dose = 2000.0 nM"
"CHEMBL105442";"CI-1040";"2";"478.66";"1";"5.04";"CI-1040";"O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl";"Kd";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1908471";"Binding constant for QSK kinase domain";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL6149";"Serine/threonine-protein kinase SIK3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1908390";"1";"Scientific Literature";"Nat. Biotechnol.";"2011";"None";""
"CHEMBL31965";"CANERTINIB";"3";"485.95";"0";"4.39";"CI-1033";"C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1";"Kd";"'='";"700.0";"nM";"6.16";"";"";"UO_0000065";"12.67";"0.25";"1.76";"6.95";"0";"CHEMBL1908471";"Binding constant for QSK kinase domain";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL6149";"Serine/threonine-protein kinase SIK3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1908390";"1";"Scientific Literature";"Nat. Biotechnol.";"2011";"None";""
"CHEMBL24828";"VANDETANIB";"4";"475.36";"1";"5.00";"Vandetanib";"COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1";"Kd";"'='";"3900.0";"nM";"5.41";"";"";"UO_0000065";"11.38";"0.25";"0.41";"9.09";"0";"CHEMBL1908471";"Binding constant for QSK kinase domain";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL6149";"Serine/threonine-protein kinase SIK3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1908390";"1";"Scientific Literature";"Nat. Biotechnol.";"2011";"None";""
"CHEMBL1163565";"";"0";"530.98";"1";"4.92";"5o";"CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1";"Inhibition";"'<'";"50.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1166834";"Inhibition of QSK at 1 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL6149";"Serine/threonine-protein kinase SIK3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1165965";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2010";"None";""
"CHEMBL1163566";"";"0";"488.95";"0";"4.66";"5n";"FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21";"Inhibition";"'<'";"50.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1166834";"Inhibition of QSK at 1 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL6149";"Serine/threonine-protein kinase SIK3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1165965";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2010";"None";""
"CHEMBL1908391";"MASITINIB";"3";"498.66";"1";"5.26";"AB-1010";"Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1";"Kd";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1908471";"Binding constant for QSK kinase domain";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL6149";"Serine/threonine-protein kinase SIK3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1908390";"1";"Scientific Literature";"Nat. Biotechnol.";"2011";"None";""
"CHEMBL477772";"PAZOPANIB";"4";"437.53";"0";"3.14";"Pazopanib";"Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O";"Kd";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1908471";"Binding constant for QSK kinase domain";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL6149";"Serine/threonine-protein kinase SIK3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1908390";"1";"Scientific Literature";"Nat. Biotechnol.";"2011";"None";""
"CHEMBL445813";"AT-7519";"2";"382.25";"0";"2.45";"AT-7519";"O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl";"Kd";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1908471";"Binding constant for QSK kinase domain";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL6149";"Serine/threonine-protein kinase SIK3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1908390";"1";"Scientific Literature";"Nat. Biotechnol.";"2011";"None";""
